"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"COUNTRYSIDE ESTATES - WWTP","TX0067474","AUSTIN","TX","48007031003","10.58","Other Management Practice","","","","10.58","Not Applicable"
"HCO MWD 71 WWTP","TX0074403","HOUSTON","TX","48007582001","83.07","Other Management Practice","","","","83.07","Class B"
"WEST PARK MUD WWTP","TX0086185","HOUSTON","TX","48007170001","610.49","Other Management Practice","","","","610.492","Class B"
"DOSHIER FARM WWTP","TX0047651","TEMPLE","TX","48003008002","327.8","Other Management Practice","","","","327.8","Class A"
"TEMPLE BELTON WWTP","TX0058378","TEMPLE 76501","TX","48000001001","2206.34","Other Management Practice","","","","2206.34","Class B, Class A"
"BABYLON LANE WWTP","TX0024422","SCHULENBURG","TX","48008037002","456","Other Management Practice","","","","456","Class B"
"HARRIS COUNTY MUD 230 WWTP","TX0094706","HOUSTON","TX","48071214001","114.14","Other Management Practice","","","","114.14","Class B"
"KALLUS STREET WWTP","TX0024414","SCHULENBURG","TX","48008037001","24","Other Management Practice","","","","24","Class B"
"CITY OF KEENE WWTP","TX0106291","KEENE","TX","48004096001","485.71","Other Management Practice","","","","485.71","Not Applicable"
"CITY OF GIDDINGS NORTH WWTF","TX0020516","GIDDINGS","TX","48003081001","18.51","Other Management Practice","","","","18.5","Class A EQ"
"CITY OF GIDDINGS SOUTH WWTP","TX0020524","GIDDINGS","TX","48003081002","18.51","Other Management Practice","","","","37","Class A EQ, Not Applicable"
"CITY OF HALLETTSVILLE","TX0025232","HALLETTSVILLE","TX","48008065001","10.2","Other Management Practice","","","","","Not Applicable"
"REFLECTION BAY WATER RECLAMATION FACILITY","TX0117501","PEARLAND","TX","48007012007","419.53","Other Management Practice","","","","419.53","Class B"
"NORTH FOREST MUD WWTP","TX0058424","HOUSTON","TX","48007699001","12.68","Other Management Practice","","","","12.68","Class B"
"NORTHWEST FREEWAY MUD WWTP","TX0075183","HOUSTON","TX","48007702001","33.26","Other Management Practice","","","","33.26","Class B"
"UPPER LEON RIVER WWTP","TX0128813","COMANCHE","TX","48009501001","2.0814","Other Management Practice","","","","2.0814","Not Applicable"
"CITY OF CALLISBURG WWTF","TX0072362","CALLISBURG","TX","48004257001","160.47","Other Management Practice","","","","160.47","Not Applicable"
"HARDIN COUNTY WCID 1 WWTP","TX0027693","SOUR LAKE","TX","48006070001","0","Other Management Practice","","","","","Class B"
"BARRY ROSE WWTF","TX0032735","PEARLAND","TX","48007012001","268.78","Other Management Practice","","","","268.78","Class B"
"INVERNESS FOREST IMPROVEMENT DISTRICT WWTF","TX0023612","HOUSTON","TX","48007669001","16.85","Other Management Practice","","","","16.85","Class B"
"CITY OF NOME WWTF","TX0054178","NOME","TX","48006011001","0","Other Management Practice","","","","","Not Applicable"
"JOHN HARGROVE WATER RECLAMATION FACILITY","TX0116581","PEARLAND","TX","48007012005","39.65","Other Management Practice","","","","39.65","Class B"
"LONGWOOD WWTP","TX0032743","PEARLAND","TX","48007012002","188.48","Other Management Practice","","","","188.48","Class B"
"BILMA PUD - WWTP","TX0077941","HOUSTON","TX","48007151001","32.38","Other Management Practice","","","","32.38","Class B"
"SOUTHDOWN WASTEWATER TREATMENT FACILITY","TX0085383","PEARLAND","TX","48007123001","29.41","Other Management Practice","","","","29.41","Class B"
"CITY OF BELLAIRE WWTP","TX0020613","BELLAIRE","TX","48007034001","1102","Other Management Practice","","","","1102","Class B"
"HARRIS CO MUD 105 WWTF","TX0070971","HOUSTON","TX","48007596001","235.75","Land Application","235.75","","","","Class B"
"RIVER PLANTATION MUD WWTP","TX0025674","CONROE","TX","48007145001","0","Other Management Practice","","","","","Class B"
"HARRIS COUNTY MUD 304 WWTP","TX0097225","HOUSTON","TX","48071225001","106.58","Other Management Practice","","","","106.58","Class B"
"CENTRAL DISTRICT WWTP","TX0020109","BAYTOWN","TX","48007033001","242.93","Other Management Practice","","","","242.63","Class B"
"HARRIS COUNTY MUD 11 WWTP","TX0111767","HOUSTON","TX","48007095001","58.96","Other Management Practice","","","","58.96","Not Applicable"
"ENCANTO REAL UD WWTP","TX0042099","HOUSTON","TX","48007521001","45.3492846","Land Application","45.349284745","","","","Class B"
"NORTHEAST DISTRICT WWTF","TX0126543","BAYTOWN","TX","48007033008","117.74","Other Management Practice","","","","117.74","Class B"
"FOREST HILLS MUD WWTP","TX0071820","HOUSTON","TX","48007874001","40.06","Other Management Practice","","","","40.06","Not Applicable"
"CITY OF PORTLAND WWTF","TX0055433","PORTLAND","TX","48001212003","29.09318978","Land Application","29.093189784","","","","Class A"
"CITY OF TAFT BAIRD WWTF","TX0027472","TAFT","TX","48001214001","305.1","Other Management Practice","","","","305.1","Not Applicable"
"CITY OF LYTLE WWTP","TX0057509","LYTLE","TX","48008044001","36.9","Other Management Practice","","","","36.9","Not Applicable"
"GOREE WWTF","TX0054976","GOREE","TX","48002045001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF DETROIT  WWTP","TX0055581","DETROIT","TX","48005059001","0","Other Management Practice","","","","","Not Applicable"
"ANDERSON WPCP","CAL077704","ANDERSON","CA","06005023002","117.08","Other Management Practice","","","","117.08","Class B"
"ELLINGER SEWER & WSC WWTP","TX0066648","ELLINGER","TX","48008150001","6.37","Other Management Practice","","","","6.37","Not Applicable"
"EAST DISTRICT WWTP","TX0020117","BAYTOWN","TX","48007033003","212.05","Other Management Practice","","","","245.18","Class B"
"WEST DISTRICT WWTF","TX0072834","BAYTOWN","TX","48007033006","245.18","Other Management Practice","","","","212.05","Class B"
"CITY OF WHARTON WWTP  2","TX0101222","WHARTON","TX","48001246002","145.97","Other Management Practice","","","","145.97","Not Applicable"
"CITY OF JAMAICA BEACH WWTP","TX0020061","JAMAICA BEACH","TX","48007079001","12.09","Other Management Practice","","","","12.09","Class B"
"CITY OF TEAGUE NORTH WWTP","TX0034495","TEAGUE","TX","48003289002","0","Other Management Practice","","","","","Not Applicable"
"HORIZON REGIONAL MUD WWTP","TX0086045","HORIZON CITY","TX","48001011001","285.72","Other Management Practice","","","","285.72","Not Applicable"
"CITY OF TEAGUE WWTP","TX0034509","TEAGUE","TX","48003289001","0","Other Management Practice","","","","","Not Applicable"
"HARRIS COUNTY MUD 24 WWTP","TX0076856","BELLAIRE","TX","48007556001","0","Other Management Practice","","","","","Class B"
"NORTH ANGELINA COUNTY REGIONAL WASTEWATER","TX0056154","LUFKIN","TX","48000018002","23.86","Other Management Practice","","","","23.86","Class A"
"LAZY RIVER IMPROVEMENT DISTRICT WWTF","TX0069256","HOUSTON","TX","48007188001","0","Other Management Practice","","","","","Not Applicable"
"MEMORIAL VILLAGES WA WWTP","TX0047457","HOUSTON","TX","48007046001","183.08","Other Management Practice","","","","194.82","Class B"
"CITY OF PLAINVIEW WWTF","TX0047571","PLAINVIEW","TX","48000240001","1994","Other Management Practice","","","","1994","Class B"
"TEXAS NATIONAL MUD","TX0068659","HOUSTON","TX","48007833001","3.78","Other Management Practice","","","","3.78","Class B"
"STEWART CREEK WWTP","TX0053112","THE COLONY","TX","48004269002","947.69","Other Management Practice","","","","947.69","Not Applicable"
"CAMERON WWTP ","TX0053651","CAMERON","TX","48003067001","27","Other Management Practice","","","","","Class B"
"CITY OF THORNDALE WWTP","TX0032379","THORNDALE","TX","48003120001","100.64","Other Management Practice","","","","100.64","Not Applicable"
"WHARTON COUNTY WCID 2 WWTP","TX0025852","EAST BERNARD","TX","48001403001","10.58","Other Management Practice","","","","10.58","Class B"
"MEADOWLAND UTILITY WWTP","TX0109886","ALVIN","TX","48003165001","1","Land Application, Other Management Practice","0.66","","","0.34","Class B, Not Applicable"
"HOGS BAYOU WWTP","TX0032361","CARTHAGE","TX","48005053001","389.742","Land Application","389.742","","","","Class B"
"SKIDMORE WSC WWTP","TX0119407","SKIDMORE","TX","48001258001","2.94","Land Application","2.94","","","","Class B"
"CITY OF HALLSVILLE WWTP","TX0026921","HALLSVILLE","TX","48005070001","0","Other Management Practice","","","","","Not Applicable"
"ANAHUAC WWTP","TX0033944","ANAHUAC","TX","48007438001","22.68","Other Management Practice","","","","22.68","Class A"
"TOWN OF LAKEWOOD VILLAGE WWTF","TX0026565","LAKEWOOD VILLAGE","TX","48004280001","165","Surface Disposal","","160","","","Class B"
"CITY OF BANGS WWTP","TX0053511","BANGS","TX","48009004001","53.19","Other Management Practice","","","","53.19","Class B"
"MARTINEZ II WWTP","TX0095583","SAN ANTONIO","TX","48008045003","1065.26","Land Application, Other Management Practice","20683","","","41.36","Class A, Not Applicable"
"WHARTON WWTP 1","TX0021288","WHARTON","TX","48001246001","386.62","Other Management Practice","","","","386.62","Not Applicable"
"EAST BANK WWTP","TX0076953","CENTER","TX","48006045001","768","Other Management Practice","","","","960","Class B"
"CRANE WWTP","TX0138461","MONTGOMERY","TX","48001005001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF ALVORD WWTP","TX0057631","ALVORD","TX","48004201001","3.9","Other Management Practice","","","","3.88","Not Applicable"
"CITY OF ABBOTT WWTP","TX0075396","ABBOTT","TX","48003060001","0","Other Management Practice","","","","","Not Applicable"
"LUMBERTON MUD WWTP 2","TX0092801","LUMBERTON","TX","48006043002","141.1","Other Management Practice","","","","183.4","Not Applicable"
"DETROIT LAKES","MNL020192","DETROIT LAKES","MN","27005004001","121.49","Land Application","121.49","","","","Class B"
"CITY OF TOLAR WWTP","TX0027685","TOLAR","TX","48003119001","6.43","Other Management Practice","","","","6.43","Not Applicable"
"QUANAH WWTF","TX0024139","QUANAH","TX","48000158001","122.15","Surface Disposal","","122.15","","","Class B"
"CITY OF COLMESNEIL WWTP","TX0100692","COLMESNEIL","TX","48006167001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF NOCONA  WEST WWTF","TX0042650","NOCONA","TX","48004219001","6.56","Other Management Practice","","","","6.56","Not Applicable"
"CITY OF PARIS WWTF","TX0027910","PARIS","TX","48005021001","1003.17","Land Application, Other Management Practice","402.93","","","600.24","Class A"
"TWO HARBORS","MNL022250","TWO HARBORS","MN","27000185001","133","Land Application","133","","","","Class B"
"CITY OF MALONE WWTF","TX0020303","MALONE","TX","48003097001","0","Other Management Practice","","","","","Not Applicable"
"PENELOPE WWTP","TX0112283","PENELOPE","TX","48003107001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF HILLSBORO WWTP","TX0023108","HILLSBORO","TX","48003045001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF ROSEBUD WWTP","TX0023981","ROSEBUD","TX","48003112001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF HUBBARD WWTP","TX0053295","HUBBARD","TX","48003089001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF BRECKENRIDGE WWTF","TX0023213","BRECKENRIDGE","TX","48004207001","421.55","Other Management Practice","","","","421.55","Not Applicable"
"BURKBURNETT WWTF","TX0026956","BURKBURNETT","TX","48004358001","286.9653","Other Management Practice","","","","286.9653","Not Applicable"
"CITY OF BIG LAKE-WWTF","TX0023426","BIG LAKE","TX","48009070001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF ROGERS WWTP","TX0027103","ROGERS","TX","48003007001","0","Other Management Practice","","","","","Not Applicable"
"BREMOND WWTP","TX0023442","BREMOND","TX","48003054001","5.51","Other Management Practice","","","","5.51","Class B"
"TIOGA WWTP","TX0055221","TIOGA","TX","48004085001","36.45","Other Management Practice","","","","36.45","Class B"
"CITY OF GORMAN WWTP","TX0021806","GORMAN","TX","48003083001","0","Other Management Practice","","","","","Not Applicable"
"TOWN OF WOODLOCH WWTP","TX0075680","CONROE","TX","48007838001","2.27","Other Management Practice","","","","2.27","Class B"
"CITY OF LIBERTY MAIN WWTP","TX0074284","LIBERTY","TX","48007060001","58.38","Other Management Practice","","","","58.38","Class B"
"PORT ACRES WWTF","TX0047511","PORT ARTHUR","TX","48006009003","161","Land Application","161","","","","Class B"
"CITY OF GRAHAM WWTF","TX0024635","GRAHAM","TX","48004214001","362.12","Other Management Practice","","","","362.12","Class B"
"BLOOMING GROVE  WWTP","TX0075418","BLOOMING GROVE","TX","48004204001","0","Other Management Practice","","","","","Not Applicable"
"EAST TEXAS MUD OF SMITH COUNTY WWTF","TX0032484","TYLER","TX","48005016001","221","Other Management Practice","","","","221","Not Applicable"
"DECATUR WWTP","INL039314","DECATUR","IN","18000201001","188.6","Land Application","102.2","","","","Class A"
"CITY OF NEDERLAND WWTP","TX0026476","NEDERLAND","TX","48006007001","530.48","Other Management Practice","","","","530.48","Not Applicable"
"SAN BENITO WWTP","TX0135470","SAN BENITO","TX","48001109001","309.65","Land Application","309.65","","","","Class B"
"STILLHOUSE BRANCH WWTP","TX0111791","GATESVILLE","TX","48003013002","398.88","Land Application","398.88","","","","Class B"
"CITY OF BARDWELL WWTP","TX0026581","BARDWELL","TX","48004064001","7.95","Other Management Practice","","","","7.95","Not Applicable"
"CITY OF BOONE","IAL058076","BOONE","IA","19000093001","213.64","Land Application","213.64","","","","Class B"
"CITY OF EAGLE GROVE","IAL034380","EAGLE GROVE","IA","19000253001","1572.78","Land Application","1572.78","","","","Class B"
"CORTEZ SANITATION DISTRICT","COL027545","CORTEZ","CO","08000214002","218.2","Other Management Practice","","","","218.2","Not Applicable"
"WESTERN LAKE SSD","MNL049786","DULUTH","MN","27000002001","6362","Land Application","6362","","","","Class B"
"HOLTVILLE WWTP","CAL104361","HOLTVILLE","CA","06007013001","198","Land Application","198.44","","","","Class B"
"CITY OF CAMPBELL WWTP","TX0072508","CAMPBELL","TX","48005126001","0","Other Management Practice","","","","","Class B"
"ALBANY CO SD","NYL026867","ALBANY","NY","36004064002","2858.5","Incineration","","","2858.5","",""
"ALBANY CO SD","NYL026875","ALBANY","NY","36004064001","7527.5","Incineration","","","7527.5","",""
"RCSD KIMMSWICK WWTP","MOL106461","KIMMSWICK","MO","29002204001","270","Land Application","269","","","","Class B"
"LAKOTA WWTP","WAL022624","FEDERAL WAY","WA","53000658001","936.52","Land Application","936.52","","","","Class B"
"REDONDO WWTP","WAL023451","FEDERAL WAY","WA","53000658002","185.86","Land Application","185.86","","","","Class B"
"WICHITA, CITY OF","KSL095681","WICHITA","KS","20000193002","4853","Land Application","3083","","","","Class B"
"CITY OF STORM LAKE","IAL032484","STORM LAKE","IA","19000823001","131.58","Land Application","131.58","","","","Class B"
"GENESEO (V)","NYL030635","GENESEO","NY","36008017001","67.73","Surface Disposal","","67.73","","","Class B"
"LIVERMORE WRP","CAL038008","LIVERMORE","CA","06002109001","1210.6","Land Application","1207.8","","","","Class B"
"CHRISTIANSBURG TOWN OF","VAL061751","CHRISTIANSBURG","VA","51000174001","220.21","Land Application","215.19","","","","Class B"
"POTSDAM (V)","NYL020818","POTSDAM","NY","36006117001","132.7","Land Application","132.7","","","","Class A"
"CITY OF MOUNT VERNON","IAL023710","MT. VERNON","IA","19000596001","65.13","Land Application","65.13","","","","Class B"
"CITY OF KNOX CITY WWTP","TX0035505","KNOX CITY","TX","48002141001","1","Other Management Practice","","","","20","Not Applicable"
"HOGANSVILLE, CITY OF (HOGANSVILLE WPCP)","GAL050218","HOGANSVILLE","GA","13000657001","72.78","Surface Disposal","","72.78","","","Class B"
"CITY OF ELDRIDGE","IAL021318","ELDRIDGE","IA","19000264001","65","Land Application","65","","","","Class B"
"HAYSVILLE, CITY OF","KSL090921","HAYSVILLE","KS","20000142001","123","Land Application","87.29","","","","Class B"
"AUSTIN","MNL022683","AUSTIN","MN","27000005001","835.59","Land Application","835.59","","","","Class B"
"JONESBORO, CITY WATER & LIGHT","ARL037907","JONESBORO","AR","05000006001","364","Land Application","364","","","","Class B"
"JONESBORO, CITY WATER & LIGHT-E","ARL043401","JONESBORO","AR","05000006002","1363","Land Application","1363","","","","Class B"
"HUNTINGBURG WWTP","INL023124","HUNTINGBURG","IN","18004373001","186","Land Application","186","","","","Class B"
